eis_id,title,document,epa_comment_letter_date,federal_register_date,agency,state
79663,11400 South Project  Proposed Improvement to the Transportation Network in the Southern Salt Lake Valley from 12300/12600 South to 10400/10600 South  and from Bangerter Highway to 700 East  Salt Lake City Salt Lake County  UT,Final,06/30/2005,06/10/2005,Federal Highway Administration,UT
79434,11400 South Project  Proposed Improvement to the Transportation Network in the Southern Salt Lake Valley from 12300/12600 South to 10400/10600 South  and from Bangerter Highway to 700 East  Salt Lake City  Salt Lake County  UT,Draft,12/20/2004,11/05/2004,Federal Highway Administration,UT
186104,2016-2020 Fernow Experimental Forest,Final,"",01/22/2016,Forest Service,WV
185476,1800 North (SR-37) Project,Final,"",01/15/2016,Federal Highway Administration,UT
176151,2016-2020 Fernow Experimental Forest,Draft,08/28/2015,09/04/2015,Forest Service,WV
88431,1800 North (SR-37) Transportation Improvement,Draft,12/08/2014,10/24/2014,Federal Highway Administration,UT
86673,1989 - 94 Ketchikan Pulp Long-Term Timber Sale Management Plan  Implementation  Tongass National Forest  Prince of Wales Island  AK (NOTE:  EPA has granted a reduction of the 30-day period to five days for the following harvest units 527-102,Final,06/30/1989,06/02/1989,Forest Service,AK
86290,1987 Deerlodge Nat'l Forest  Noxious Weed Control Program  MT,Draft,04/20/1987,03/06/1987,Forest Service,MT
85645,1986 - 2000 Nantahala and Pisgah National Forests  Additional Information Land and Resource Management Plan  Amendment 5  Several Counties  NC,Draft Supplement,12/16/1992,08/21/1992,Forest Service,NC
85629,1981- 86 and 1986 - 90 Alaska Pulp Long-Term Timber Sale Operating Plan  Updated Information and Reanalysis of Alternatives  Implementation  Coast Guard Bridge Permit  Section 10 and 404 Permits  Tongass National Forest  Juneau and Sitka Boroughs  AK,Second Draft Supplemental,10/19/1988,09/09/1988,Forest Service,AK
85575,1991 Warner Creek Fire Recovery Project  Northern Spotted Owl Habitat and Other Resources Reforestation  Northern Spotted Owl Habitat Conservation Area 0-10  Willamette National Forest  Oakridge Ranger District  Lane County  OR,Final,11/19/1993,10/22/1993,Forest Service,OR
85465,1992 Cleveland Watershed/Fire Recovery Project  Eldorado National Forest  South Fork American River  Eldorado  Alpine and Amador Counties  CA,Draft,03/30/1993,02/05/1993,Forest Service,CA
85461,1989 - 94 Ketchikan Pulp Long-Term Timber Sale Management Plan  Implementation  Tongass National Forest  Prince of Wales Island  AK (NOTE:  EPA has granted a reduction of the 30-day period to five days for the following harvest units 527-102,Draft,11/29/1988,10/07/1988,Forest Service,AK
